Diver,Date,Board,Place,Competitors Count,Final Score,Z-Score,Mean,Standard Deviation
Joshua Thai,02-03-2024,Men Platform (6 Dives),3,8,345.4,0.57,317.24,49.82
Joshua Thai,02-02-2024,Men 1m Championship (6 Dives),6,9,276.05,-0.14,282.18,43.33
Joshua Thai,02-02-2024,Men 3m Championship (6 Dives),1,10,374.1,1.78,288.01,48.32
Joshua Thai,01-20-2024,Men 1m Championship (6 Dives),1,7,337.65,1.5,285.98,34.38
Joshua Thai,01-20-2024,Men 3m Championship (6 Dives),1,7,365.4,1.48,313.24,35.22
Joshua Thai,01-19-2024,Men 1m Championship (6 Dives),1,6,325.05,0.95,287.06,39.95
Joshua Thai,01-19-2024,Men 3m Championship (6 Dives),3,6,317.33,-0.08,318.98,20.16
Joshua Thai,11-29-2023,Senior Men 3m,17,43,293.4,0.2,281.78,57.94
Joshua Thai,11-29-2023,Senior Men 3m,21,21,300.95,-1.4,347.82,33.53
Joshua Thai,11-29-2023,Senior Men Platform,18,20,252.45,-0.96,304.09,53.8
Joshua Thai,11-29-2023,Senior Men Platform,17,19,267.85,-0.99,334.47,67.44
Joshua Thai,11-16-2023,Men 1m Championship (6 Dives),7,20,317.95,0.42,298.36,46.4
Joshua Thai,11-16-2023,Men 1m Championship (6 Dives),9,12,301.15,-0.55,320.77,35.77
Joshua Thai,11-16-2023,Men 3m Championship (6 Dives),11,22,330.1,0.29,316.14,48.63
Joshua Thai,11-16-2023,Men 3m Championship (6 Dives),7,12,371.2,0.19,364.26,35.92
Joshua Thai,11-16-2023,Men Platform (6 Dives),3,20,357.2,1.23,293.48,51.89
Joshua Thai,10-14-2023,Men 1m Championship (6 Dives),4,8,329.85,0.51,307.86,42.88
Joshua Thai,10-14-2023,Men 3m Championship (6 Dives),2,8,350.78,1.27,311.97,30.64
Joshua Thai,03-23-2023,Men 3m Championship (6 Dives),32,52,329.05,-0.39,345.02,40.63
Joshua Thai,03-23-2023,Men Platform (6 Dives),14,47,347.85,0.48,320.86,56.61
Joshua Thai,03-23-2023,Men Platform (6 Dives) CONSOL.,6,8,337.55,-0.57,359.39,38.28
Joshua Thai,03-06-2023,Men 3m Championship (6 Dives),5,29,342.25,0.9,293.53,54.43
Joshua Thai,03-06-2023,Men 3m Championship (6 Dives),4,18,694.3,0.74,641.88,71.11
Joshua Thai,03-06-2023,Men Platform (6 Dives),12,23,295.3,0.14,289.91,37.24
Joshua Thai,03-06-2023,Men Platform (6 Dives),8,18,608.9,0.18,600.28,48.6
Joshua Thai,02-22-2023,Men 1m Championship (6 Dives),7,20,284.95,0.28,273.88,39.17
Joshua Thai,02-22-2023,Men 1m Championship (6 Dives),7,8,315.3,-0.49,326.38,22.42
Joshua Thai,02-22-2023,Men 3m Championship (6 Dives),7,20,354.65,0.86,299.18,64.43
